cluster_1	cluster_2	Jaccard	Overlap
dump.out.ecoli60.mci.I60_61	dump.out.ecoli60.mci.I14_2	0.014084507042253521	0.75
dump.out.ecoli60.mci.I60_62	dump.out.ecoli60.mci.I14_25	0.5333333333333333	1.0
dump.out.ecoli60.mci.I60_63	dump.out.ecoli60.mci.I14_12	0.12	0.75
dump.out.ecoli60.mci.I60_64	dump.out.ecoli60.mci.I14_46	0.8888888888888888	1.0
dump.out.ecoli60.mci.I60_65	dump.out.ecoli60.mci.I14_11	0.16326530612244897	1.0
dump.out.ecoli60.mci.I60_66	dump.out.ecoli60.mci.I14_2	0.018867924528301886	1.0
dump.out.ecoli60.mci.I60_67	dump.out.ecoli60.mci.I14_3	0.016548463356973995	0.875
dump.out.ecoli60.mci.I60_68	dump.out.ecoli60.mci.I14_1	0.0065420560747663555	0.875
dump.out.ecoli60.mci.I60_69	dump.out.ecoli60.mci.I14_53	1.0	1.0
dump.out.ecoli60.mci.I60_70	dump.out.ecoli60.mci.I14_41	0.8	1.0
dump.out.ecoli60.mci.I60_71	dump.out.ecoli60.mci.I14_6	0.08888888888888889	1.0
dump.out.ecoli60.mci.I60_72	dump.out.ecoli60.mci.I14_16	0.2413793103448276	0.875
dump.out.ecoli60.mci.I60_73	dump.out.ecoli60.mci.I14_3	0.018957345971563982	1.0
dump.out.ecoli60.mci.I60_74	dump.out.ecoli60.mci.I14_2	0.01650943396226415	1.0
dump.out.ecoli60.mci.I60_75	dump.out.ecoli60.mci.I14_3	0.016587677725118485	1.0
dump.out.ecoli60.mci.I60_76	dump.out.ecoli60.mci.I14_14	0.08695652173913043	0.5714285714285714
dump.out.ecoli60.mci.I60_77	dump.out.ecoli60.mci.I14_11	0.14285714285714285	1.0
dump.out.ecoli60.mci.I60_78	dump.out.ecoli60.mci.I14_36	0.7	1.0
dump.out.ecoli60.mci.I60_79	dump.out.ecoli60.mci.I14_1	0.005607476635514018	0.8571428571428571
dump.out.ecoli60.mci.I60_80	dump.out.ecoli60.mci.I14_51	0.6666666666666666	0.8571428571428571
dump.out.ecoli60.mci.I60_81	dump.out.ecoli60.mci.I14_47	0.7777777777777778	1.0
dump.out.ecoli60.mci.I60_82	dump.out.ecoli60.mci.I14_3	0.014184397163120567	0.8571428571428571
dump.out.ecoli60.mci.I60_83	dump.out.ecoli60.mci.I14_28	0.5384615384615384	1.0
dump.out.ecoli60.mci.I60_84	dump.out.ecoli60.mci.I14_13	0.15555555555555556	1.0
dump.out.ecoli60.mci.I60_85	dump.out.ecoli60.mci.I14_48	0.7777777777777778	1.0
dump.out.ecoli60.mci.I60_86	dump.out.ecoli60.mci.I14_29	0.5833333333333334	1.0
dump.out.ecoli60.mci.I60_87	dump.out.ecoli60.mci.I14_2	0.00936768149882904	0.5714285714285714
dump.out.ecoli60.mci.I60_88	dump.out.ecoli60.mci.I14_2	0.014150943396226415	1.0
dump.out.ecoli60.mci.I60_89	dump.out.ecoli60.mci.I14_2	0.014150943396226415	1.0
dump.out.ecoli60.mci.I60_90	dump.out.ecoli60.mci.I14_15	0.21428571428571427	1.0
dump.out.ecoli60.mci.I60_91	dump.out.ecoli60.mci.I14_69	1.0	1.0
dump.out.ecoli60.mci.I60_92	dump.out.ecoli60.mci.I14_5	0.026595744680851064	0.8333333333333334
dump.out.ecoli60.mci.I60_93	dump.out.ecoli60.mci.I14_21	0.2608695652173913	1.0
dump.out.ecoli60.mci.I60_94	dump.out.ecoli60.mci.I14_6	0.06666666666666667	1.0
dump.out.ecoli60.mci.I60_95	dump.out.ecoli60.mci.I14_2	0.014150943396226415	1.0
dump.out.ecoli60.mci.I60_96	dump.out.ecoli60.mci.I14_1	0.005612722170252572	1.0
dump.out.ecoli60.mci.I60_97	dump.out.ecoli60.mci.I14_30	0.5454545454545454	1.0
dump.out.ecoli60.mci.I60_98	dump.out.ecoli60.mci.I14_24	0.2	0.6666666666666666
dump.out.ecoli60.mci.I60_99	dump.out.ecoli60.mci.I14_72	1.0	1.0
dump.out.ecoli60.mci.I60_100	dump.out.ecoli60.mci.I14_2	0.014150943396226415	1.0
dump.out.ecoli60.mci.I60_101	dump.out.ecoli60.mci.I14_1	0.004672897196261682	0.8333333333333334
dump.out.ecoli60.mci.I60_102	dump.out.ecoli60.mci.I14_22	0.2608695652173913	1.0
dump.out.ecoli60.mci.I60_103	dump.out.ecoli60.mci.I14_52	0.75	1.0
dump.out.ecoli60.mci.I60_104	dump.out.ecoli60.mci.I14_3	0.014218009478672985	1.0
dump.out.ecoli60.mci.I60_105	dump.out.ecoli60.mci.I14_2	0.009389671361502348	0.6666666666666666
