dump.out.ecoli60.mci.I60_1168	dump.out.ecoli60.mci.I14_445	dump.out.ecoli60.mci.I20_596 
dump.out.ecoli60.mci.I60_1169	dump.out.ecoli60.mci.I14_446	dump.out.ecoli60.mci.I20_597 
dump.out.ecoli60.mci.I60_1170	dump.out.ecoli60.mci.I14_447	dump.out.ecoli60.mci.I20_598 
dump.out.ecoli60.mci.I60_1171	dump.out.ecoli60.mci.I14_448	dump.out.ecoli60.mci.I20_599 
dump.out.ecoli60.mci.I60_1172	dump.out.ecoli60.mci.I14_449	dump.out.ecoli60.mci.I20_600 
dump.out.ecoli60.mci.I60_1173	dump.out.ecoli60.mci.I14_450	dump.out.ecoli60.mci.I20_601 
dump.out.ecoli60.mci.I60_1174	dump.out.ecoli60.mci.I14_451	dump.out.ecoli60.mci.I20_602 
dump.out.ecoli60.mci.I60_1175	dump.out.ecoli60.mci.I14_452	dump.out.ecoli60.mci.I20_603 
dump.out.ecoli60.mci.I60_1177	dump.out.ecoli60.mci.I14_453	dump.out.ecoli60.mci.I20_604 
dump.out.ecoli60.mci.I60_1178	dump.out.ecoli60.mci.I14_454	dump.out.ecoli60.mci.I20_605 
dump.out.ecoli60.mci.I60_1179	dump.out.ecoli60.mci.I14_455	dump.out.ecoli60.mci.I20_606 
dump.out.ecoli60.mci.I60_1180	dump.out.ecoli60.mci.I14_456	dump.out.ecoli60.mci.I20_607 
dump.out.ecoli60.mci.I60_1181	dump.out.ecoli60.mci.I14_457	dump.out.ecoli60.mci.I20_608 
dump.out.ecoli60.mci.I60_1182	dump.out.ecoli60.mci.I14_458	dump.out.ecoli60.mci.I20_609 
dump.out.ecoli60.mci.I60_1186	dump.out.ecoli60.mci.I14_459	dump.out.ecoli60.mci.I20_610 
dump.out.ecoli60.mci.I60_1188	dump.out.ecoli60.mci.I14_460	dump.out.ecoli60.mci.I20_611 
dump.out.ecoli60.mci.I60_1189	dump.out.ecoli60.mci.I14_461	dump.out.ecoli60.mci.I20_612 
